SN,mB,mB_err,x1,x1_err,c,c_err,mu_1,mu_2,mu_err_1,mu_err_2,HR_1,HR_2,Outlier,Cluster,Cluster z,Cluster z (HD),r500 (Mpc),Projected r/r500,NED Host Galaxy,Ks/W1 log(M_stellar),Ks/W1 log(M_stellar)_err,Host/SN z,Host SFR
1990N,12.626808355834434,0.00572596638552643,1.0341069803705472,0.03345399864493883,0.05904688694421997,0.003405250112866982,31.953139706674655,31.882722648110086,0.7835891453710551,0.7783857410776621,1.5246771693239616,1.4542601107593924,n,MCXC J1230.7+1220,0.0036,0.002838028389572811,0.7508,1.1074111956848152,NGC 4639,8.906147515799496,0.04605139296929984,0.003395,SF
1994D,11.66914220480095,0.0017649677100276576,-1.8032325758044478,0.005551681890442076,-0.08435651205602279,0.000980399650015441,30.994244271527386,30.908165514047955,0.7835750366143204,0.7783717766024704,0.5657817341766922,0.47970297669726136,n,MCXC J1230.7+1220,0.0036,0.002838028389572811,0.7508,1.6787553038783487,NGC 4526,9.869785014940277,0.006,0.002058,Q
2004fz,14.817474859179308,0.0035674974095387837,-1.4442487129174244,0.02036240003296076,0.017518260171662147,0.0023389756088760976,33.931394935252605,33.85809903952766,0.20874261281236303,0.18827083547118065,-0.40271467307791653,-0.4760105688028631,y,MCXC J0200.2+3126,0.0168,0.016961411266778414,0.4618,1.2701084696303353,NGC 0783,10.148392033387946,0.04404761371664896,0.01732,SF
2006hx,17.401628549533346,0.004106233892906624,-0.2994183524079848,0.02446060569395732,0.11443590699395799,0.0029157302979551034,36.41746677117237,36.355528421527,0.17157134742378513,0.14596869943863797,-0.05432345796633342,-0.11626180761170701,n,MCXC J0115.2+0019,0.045,0.04447807107715729,0.7489,1.3360828015211763,2MASX J01135716+0022171,10.52791609165548,0.016,0.045389,Q
2007nq,17.24048984990189,0.004619595961756209,-1.8714431736402273,0.022253906114641703,-0.043639553756477295,0.0028186460079214913,36.45409135735729,36.37333329809634,0.17130875278797356,0.14566210762562104,-0.05058956649487101,-0.13134762575582215,n,MCXC J0056.3-0112,0.0442,0.0451353631043141,0.9413,1.1908827199821732,UGC 00595,10.913318762931507,0.04404761371664896,0.045031,Q
2012cg,11.982167392039738,0.0018575656594905794,0.5263181018752207,0.010297518687466188,0.12463509502470486,0.001190914313816543,31.07795712923741,31.01650873839372,0.7835758196811797,0.7783725361387295,0.6494945918867181,0.5880462010430278,n,MCXC J1230.7+1220,0.0036,0.002838028389572811,0.7508,1.0869031096375765,NGC 4424,8.619480778440112,0.04605139296929984,0.001458,SF
2013cs,13.67050150762156,0.0014795068933915931,0.7678188612566703,0.009825920272606118,0.03782993379616517,0.0009928187436837,33.016299568960896,32.943411811559336,0.2874794886653178,0.27297831036281334,0.013986338645175067,-0.05890141875638477,n,MCXC J1315.3-1623,0.0087,0.009239567544567562,0.5638,1.7990261653106518,ESO 576- G 017,9.314525292126287,0.057999999999999996,0.009243,Q
2018cng,18.341272502084568,0.007355759465592676,0.7936584896398327,0.06810822877673232,0.14143749857814852,0.005860565441344933,37.42887254234722,37.36932432117416,0.1681492265989832,0.14190410863184622,0.11708723180142755,0.05753901062836775,n,MCXC J1545.0+3603,0.0654,0.06455157645916598,0.8003,1.3148508105102052,WISEA J154529.02+355118.7,9.273746477999609,0.08414989753099776,0.0661,Q
2018ggt,16.999968654304983,0.008833821628072697,-2.368493817026657,0.052358472825247304,-0.077580035344868,0.007062433869148445,36.23561345493602,36.15097412419356,0.17173104699238181,0.14611061747365342,-0.2690674689161412,-0.3537067996586032,n,MCXC J0056.3-0112,0.0442,0.0451353631043141,0.9413,1.296699283933079,UGC 00588,11.135820741734083,0.04404761371664896,0.04416,Q
2018hts,16.561738791869868,0.015408867427875537,0.5306623723660271,0.12466119475392486,-0.09491610060936316,0.013036833969661949,36.21223181347075,36.12245697411977,0.17381379307144856,0.14845460219499879,-0.14318412233301814,-0.2329589616839982,n,MCXC J2323.8+1648,0.0416,0.04222622387603314,0.876,1.0986654063987609,WISEA J232432.94+170539.3,8.495539463098861,0.24713977727592384,0.04,SF
2018hzd,17.89059985313068,0.007639200747650433,0.12955797044318648,0.12526410191987766,0.01813896403441867,0.0074612646063842315,37.20440052812454,37.129610896514535,0.1700680885337584,0.1441293173088573,0.20824102052669957,0.13345138891669706,n,MCXC J2336.5+2108,0.0565,0.056152592282837865,0.8442,1.4612642086203145,WISEA J233701.22+212551.7,8.95074201894054,0.15647576539605504,0.05,Q
2019bxi,18.56432690955729,0.024995227687804978,-2.539408727777934,0.15925842146774902,0.1324760169417021,0.018429638424957224,37.24791312564086,37.19054194055411,0.171939810467483,0.14601833247063892,-0.0003781804086102625,-0.05774936549536136,n,MCXC J1107.3-2300,0.0639,0.06277031803978272,0.7252,1.9864719830456934,WISEA J110628.61-224427.3,10.51803082727346,0.058077018844273284,0.063727,SF
2019cdn,17.5657421873194,0.004852919882839123,-1.4712675150759955,0.04468343330894554,0.07059716442071035,0.003736977699301178,36.54223270239181,36.47581100411715,0.1707523872577842,0.1450030691886176,-0.07458464278037269,-0.14100634105503218,n,MCXC J1010.2+5429,0.047,0.04744790104536989,0.5145,1.8450435081129544,CGCG 266-030,10.826717306251396,0.04404761371664896,0.04642,Q
2019dye,17.422364643048216,0.02204402682612869,-0.6196289522039581,0.33862840228184493,-0.007112657975546592,0.017974033477380174,36.70400448589639,36.62670658196975,0.1783441425585017,0.15352002065802883,-0.05812413870705768,-0.1354220426336994,n,MCXC J0602.0+5315,0.051,0.05061590103067326,0.7205,1.2872144089527324,WISEA J060024.20+532132.6,9.234893686377768,0.09017008958376,0.047,Q
2019rzm,16.827807279627095,0.01619006149523791,-0.5188766176222162,0.1548502381616339,-0.07542296261923544,0.012425279378183234,36.294758630222404,36.20854794466214,0.17401523105556824,0.1486854228417574,-0.16650487785575763,-0.2527155634160181,n,MCXC J0116.1-1555,0.0448,0.04426967332492682,0.5523,1.8119677706810584,MCG -03-04-038,10.821724307073353,0.04605139296929984,0.044834,Q
