SN,mB,mB_err,x1,x1_err,c,c_err,mu,mu_err,HR,Outlier,log(M_stellar),log(M_stellar)_err,log(sSFR),log(sSFR)_err,Host z,Host z (HD)
2016gse,17.55182138212632,0.04594864293262513,0.024447730391399948,0.47653868521039183,0.07674202686524392,0.04910839262397259,36.63909653567618,0.17180210680898353,0.2096404597007222,n,10.14,0.10999999999999943,-10.57,0.20000000000000107,0.0433093831,0.04364572460413729
2017dae,17.100608432533555,0.04005300097474841,-0.9991795229813047,0.4991415840656759,-0.22463787795305507,0.036313849218736836,36.7701060448177,0.15520169431828504,-0.06941421546213888,n,9.19,0.09999999999999964,-9.52,0.1399999999999988,0.0521690883,0.05238572140593334
2017dfq,15.465870746640977,0.015389039792051291,1.9033709016143692,0.4136199238028101,-0.2763757495750841,0.014137599608810255,35.63241611944218,0.16143159198810603,0.8778843828715068,y,7.86,0.13999999999999968,-8.93,0.5,0.0211893339,0.0205294988500504
2017me,17.2221330984556,0.03287594048524117,2.4623642645887287,0.37969127043243345,0.17160149494484608,0.025852902991014993,36.39908254556826,0.14930182265951578,0.5799842554701371,y,9.73,0.09999999999999964,-9.82,0.20000000000000107,0.0326546915,0.033204082333094354
2017mf,16.25639541041381,0.016688316502430786,-0.5732385158612324,0.1852461985453128,0.13811394430611185,0.015817999531215206,35.12111759386222,0.14456504472151127,-0.12963593659185335,n,10.78,0.10000000000000142,-9.88,0.15000000000000036,0.0256121606,0.025700450570741884
2018avp,17.641372423025828,0.015524239400321594,0.8917863034685196,0.1268315988141341,-0.022301505486431717,0.011589260224728422,37.07526742417611,0.13909292846753207,0.22123781271390186,n,9.31,0.11999999999999922,-10.27,0.28999999999999915,0.0527090393,0.05272412049652786
2018awn,16.545702665877684,0.009138920006235495,-2.1923624490563673,0.07242448891470141,-0.05822403917441425,0.007416752577135584,35.66687888279277,0.14147455999978176,0.14983778706312734,n,9.76,0.08000000000000007,-10.62,0.1999999999999993,0.0289489254,0.02898259353389876
2018bac,16.98486313123339,0.11518103562433459,0.8202361044596923,0.5105741006134096,0.07697569798438483,0.07215592817921071,36.174241184485695,0.1444576484327104,0.047780838933555,n,9.02,0.08000000000000007,-9.48,0.16000000000000014,0.037162751,0.03811496526886038
2018btg,18.776164681742706,0.010283816326761083,-0.5082319332297438,0.07706787046762001,-0.10986204797200783,0.007727470726436652,38.23697581604972,0.1366605010949683,0.22958282887805126,n,10.58,0.08000000000000007,-10.32,0.15000000000000036,0.0873727426,0.08752011213447464
2018bwb,17.695465427196407,0.017784756231301824,-0.7383478755650923,0.09342292030410378,0.12689015525602804,0.011452136315587428,36.565488883291714,0.13790689722580726,-0.13791242998479447,n,9.52,0.08999999999999986,-10.87,0.4499999999999993,0.0498142056,0.04931164399260135
